Country Name,Starbucks Presence,Coffee Consumption Per Capita (kg),GDP Per Capita,Population,Ease Of Doing Business,FDI net inflows,Country Code,Coffee Consumption Total (kg),Stores Per 1M Residents,Stores
Afghanistan,0,0.05,507.1034319,38041754,44.06497,23404553.65,AFG,1860000,0,0
Albania,0,2.12,5353.244856,2854191,67.74847,1201022154,ALB,6060000,0,0
Algeria,0,2.49,3973.964072,43053054,48.59758,1381269144,DZA,107340000,0,0
Angola,0,0.06,2790.726615,31825295,41.28838,-4098478748,AGO,1800000,0,0
Argentina,1,0.78,9912.281809,44938712,58.96151,6663062112,ARG,35220000,3.25,146
Armenia,0,1.85,4622.733493,2957731,74.49401,254077251.7,ARM,5460000,0,0
Australia,1,3.33,55060.3261,25364307,81.21506,40498920290,AUS,84420000,1.93,49
Austria,1,7.55,50137.66278,8877067,78.74549,-8100275768,AUT,67020000,2.14,19
Azerbaijan,1,0.37,4793.58702,10023318,76.70888,1503918000,AZE,3660000,0.4,4
"Bahamas, The",1,1.69,34863.7421,389482,59.87155,264596251.7,BHS,660000,33.38,13
Bahrain,1,2.23,23503.97713,1641172,76.02665,941755319.1,BHR,3660000,20.11,33
Bangladesh,0,0.05,1855.739824,163046161,45.04865,1908045387,BGD,8460000,0,0
Barbados,0,2.3,18148.24493,287025,57.90615,215370000,BRB,660000,0,0
Belarus,0,0.97,6663.295293,9466856,74.29113,1273300000,BLR,9180000,0,0
Belgium,1,4.88,46420.66377,11484055,74.98904,-28965673808,BEL,56040000,2.44,28
Belize,0,0.61,4815.163711,390353,55.47444,102890130.2,BLZ,240000,0,0
Benin,0,0.02,1219.432672,11801151,52.40404,218207871.7,BEN,180000,0,0
Bhutan,0,0.16,3316.175714,763092,65.97305,13032399.58,BTN,120000,0,0
Bolivia,1,0.31,3552.06876,11513100,51.65574,-237408056.2,BOL,3600000,0.43,5
Bosnia and Herzegovina,0,6.49,6108.510696,3301000,65.44253,390210690.9,BIH,21420000,0,0
Botswana,0,0.81,7961.325181,2303697,66.1978,260928016.9,BWA,1860000,0,0
Brazil,1,5.61,8717.186278,211049527,59.08307,69174151370,BRA,1183200000,0.57,121
Brunei Darussalam,0,4.15,31086.75112,433285,70.06387,373256767.2,BRN,1800000,0,0
Bulgaria,1,3.1,9828.148515,6975761,71.97405,1643900000,BGR,21600000,2.01,14
Burkina Faso,0,0.03,786.8956313,20321378,51.40019,162970140.3,BFA,660000,0,0
Burundi,0,0.01,261.2474725,11530580,46.77393,1044960.501,BDI,120000,0,0
Cabo Verde,0,0.87,3603.781793,549935,55.03925,105301877.8,CPV,480000,0,0
Cambodia,1,0.1,1643.121389,16486542,53.84483,3663032999,KHM,1680000,1.09,18
Cameroon,0,0.16,1507.450206,25876380,46.09974,1024779238,CMR,4140000,0,0
Canada,1,5.7,46194.72523,37589262,79.64043,45087716090,CAN,214440000,42.75,1607
Central African Republic,0,0.11,467.9074406,4745185,35.56585,25601157.42,CAF,540000,0,0
Chad,0,0.08,709.5403101,15946876,36.93568,566638950.9,TCD,1260000,0,0
Chile,1,0.8,14896.45387,18952038,72.58023,11928369565,CHL,15180000,6.86,130
China,1,0.05,10216.63033,1397715000,77.9313,1.56E+11,CHN,64200000,2.95,4125
Colombia,1,1.68,6428.676206,50339443,70.05964,14313721547,COL,84780000,0.68,34
"Congo, Dem. Rep.",0,0.14,580.7168672,86790567,36.20973,1350994226,COD,12000000,0,0
"Congo, Rep.",0,0.03,2279.969131,5380508,39.53359,3366085029,COG,180000,0,0
Costa Rica,1,3.21,12243.81143,5047561,69.2383,2505080215,CRI,16200000,2.77,14
Cote d'Ivoire,0,0.74,2276.333279,25716544,60.68796,1008704755,CIV,19020000,0,0
Croatia,0,5.41,14936.10055,4067500,73.62096,1170052265,HRV,22020000,0,0
Cyprus,1,4.05,27858.371,1198575,73.35105,25930367780,CYP,4860000,12.51,15
Czech Republic,1,3.22,23494.5962,10669709,76.34054,9332858121,CZE,34320000,4.22,45
Denmark,1,7.86,60170.34264,5818553,85.28856,-7499269283,DNK,45720000,3.27,19
Djibouti,0,2.53,3414.92487,973560,60.49674,175000000,DJI,2460000,0,0
Dominica,0,1.67,8110.568512,71808,60.54797,32551851.85,DMA,120000,0,0
Dominican Republic,0,2.11,8282.116359,10738958,59.98867,2824500000,DOM,22680000,0,0
Ecuador,0,0.52,6183.823825,17373662,57.7227,948594269.5,ECU,9000000,0,0
"Egypt, Arab Rep.",1,0.04,3019.205829,100388073,60.05364,9010100000,EGY,4020000,0.38,38
El Salvador,1,2.47,4187.250031,6453553,65.25247,724753960.8,SLV,15960000,1.86,12
Equatorial Guinea,0,0.09,8131.923888,1355986,41.05286,452287114.4,GNQ,120000,0,0
Estonia,0,3.03,23723.30611,1326590,80.61685,2962634486,EST,4020000,0,0
Eswatini,0,0.26,3894.679807,1148130,59.49273,127970922,SWZ,300000,0,0
Ethiopia,0,1.81,855.7608623,112078730,47.97613,2516228020,ETH,202980000,0,0
Finland,1,11.88,48782.78848,5520314,80.17834,15768223069,FIN,65580000,1.27,7
France,1,5.33,40493.92857,67059887,76.80465,51038713851,FRA,357720000,2.71,182
Gabon,0,0,7767.013404,2172579,45.0251,1553136883,GAB,0,0,0
"Gambia, The",0,0.36,777.8119321,2347706,50.29381,32266071.55,GMB,840000,0,0
Georgia,0,1.63,4697.704576,3720382,83.73393,1341122820,GEO,6060000,0,0
Germany,1,6.83,46445.2491,83132799,79.71004,72211216446,DEU,567600000,1.94,161
Ghana,0,0,2202.115567,30417856,59.96017,3879831470,GHA,120000,0,0
Greece,1,5.73,19582.53598,10716322,68.42391,4999635990,GRC,61380000,2.99,32
Grenada,0,1.07,10808.67212,112003,53.44488,131044444.4,GRD,120000,0,0
Guatemala,1,1.23,4619.985258,16604026,62.59562,966759860,GTM,20400000,0.54,9
Guinea,0,0.23,962.8399086,12771246,49.42922,44400000,GIN,3000000,0,0
Guinea-Bissau,0,0.16,697.2949269,1920922,43.23319,30612874.13,GNB,300000,0,0
Guyana,0,1.3,6609.586425,782766,55.49196,1695179887,GUY,1020000,0,0
Haiti,0,0.17,1272.490925,11263077,40.72493,75000000,HTI,1860000,0,0
Honduras,0,2.83,2574.912191,9746117,56.26791,955095298,HND,27600000,0,0
"Hong Kong SAR, China",1,0.41,66405,7507400,85.3154,58299361095,HKG,3060000,27.17,204
Hungary,1,1.11,16731.82151,9769949,73.41584,32049970433,HUN,10800000,2.97,29
Iceland,0,6.97,66944.83308,361313,78.96154,-480910801.7,ISL,2520000,0,0
India,1,0.08,2099.599048,1366417754,71.04511,50610647354,IND,108000000,0.12,161
Indonesia,1,0.79,4135.569263,270625568,69.57879,24993551748,IDN,215040000,1.56,421
Iraq,0,0.75,5955.10901,39309783,44.70443,-3075600000,IRQ,29460000,0,0
Ireland,1,2.17,78660.95646,4941444,79.57614,-46633226471,IRL,10740000,15.99,79
Israel,0,2.91,43592.08358,9053300,76.67572,19047100000,ISR,26340000,0,0
Italy,1,5.66,33228.23668,60297396,72.85055,31192029026,ITA,341340000,0.13,8
Jamaica,1,0.18,5582.263778,2948279,69.67997,665415555,JAM,540000,2.71,8
Japan,1,3.39,40246.88013,126264931,77.99983,36280892672,JPN,427800000,11.89,1501
Jordan,1,1.59,4405.488412,10101694,68.97453,825492957.7,JOR,16080000,2.47,25
Kazakhstan,1,0.81,9812.390376,18513930,79.55915,3369885001,KAZ,15060000,1.19,22
Kenya,0,0.06,1816.546916,52573973,73.21648,1332436904,KEN,3000000,0,0
"Korea, Rep.",1,2.09,31846.21823,51709098,84.00083,10565600000,KOR,108120000,25.8,1334
Kuwait,1,2.01,32000.44847,4207083,67.40473,515617569.4,KWT,8460000,38.03,160
Kyrgyz Republic,0,0.66,1309.392992,6456900,67.82089,278859100,KGZ,4260000,0,0
Lao PDR,0,1.26,2534.89828,7169455,50.82456,755524124.2,LAO,9000000,0,0
Latvia,0,3.17,17828.89466,1912789,80.28054,1059246101,LVA,6060000,0,0
Lebanon,1,3.56,7583.694722,6855713,54.3316,2223271880,LBN,24420000,6.42,44
Lesotho,0,0.17,1118.131284,2125268,59.4294,117671911.4,LSO,360000,0,0
